"","PP","Monitor","distance","lag","gams.coeff","p.value","p.value_adj","edge","max.distance","start.date","end.date","wind.speed","knots","PP.longitude","PP.latitude","M.longitude","M.latitude","avgPM","avgemissions","PM.NAdays","emissions.NAdays","total.days","bearing"
"11","PP1048","M01073-2003",967.098623566496,3,0.00502639825906756,0.0503206042137301,0.252512429578537,0,1000,2005-06-01,2005-08-31,13,5,-90.2345,41.8081,-86.924167,33.499722,21.9478260869565,15.2080543478261,0,0,91,161.390360670312
"12","PP1058","M01073-2003",1029.90384918258,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-91.6686,41.9839,-86.924167,33.499722,21.9478260869565,3.2285,0,84,91,154.56769086292
"13","PP1073","M01073-2003",1024.82358103668,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-91.6386,41.9439,-86.924167,33.499722,21.9478260869565,13.1931463414634,0,10,91,154.606529772139
"14","PP1077","M01073-2003",1082.7162843685,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-92.8627,42.0472,-86.924167,33.499722,21.9478260869565,8.76861038961039,0,15,91,149.255448380334
"15","PP10773","M01073-2003",802.966643669553,2,-0.00131553106654357,0.764759385715491,0.89930512805279,0,1000,2005-06-01,2005-08-31,13,5,-79.2726,37.1183,-86.924167,33.499722,21.9478260869565,0.383228915662651,0,9,91,242.27333645909
"16","PP10774","M01073-2003",970.137849870923,3,-6.07110082260191e-05,0.991825156333161,0.99486143937216,0,1000,2005-06-01,2005-08-31,13,5,-76.9953,36.6525,-86.924167,33.499722,21.9478260869565,0.516945652173913,0,0,91,251.790036906961
"17","PP108","M01073-2003",1361.17149559147,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-100.9725,37.9306,-86.924167,33.499722,21.9478260869565,4.60642391304348,0,0,91,106.924831698247
"18","PP1081","M01073-2003",945.000027323156,3,0.00134073998867665,0.850392357775319,0.94015688439843,0,1000,2005-06-01,2005-08-31,13,5,-90.4483,41.5404,-86.924167,33.499722,21.9478260869565,8.83638202247191,0,3,91,159.660178061051
"19","PP1091","M01073-2003",1283.15814735606,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-96.3797,42.3251,-86.924167,33.499722,21.9478260869565,69.104988372093,0,6,91,136.665107586967
"20","PP1104","M01073-2003",885.543808893597,2,-0.00466442051042192,0.361215315704722,0.672715399224807,0,1000,2005-06-01,2005-08-31,13,5,-91.1168,40.7412,-86.924167,33.499722,21.9478260869565,15.6445384615385,0,1,91,153.834043294819
"21","PP1122","M01073-2003",1113.60841654091,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-93.6069,42.0247,-86.924167,33.499722,21.9478260869565,4.60428888888889,0,2,91,145.999195132172
"22","PP113","M01073-2003",2155.31412088995,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-110.3033,34.9394,-86.924167,33.499722,21.9478260869565,65.3253586956522,0,0,91,87.5429720333942
"23","PP1131","M01073-2003",1112.24364401988,NA,NA,NA,NA,NA,1000,2005-06-01,2005-08-31,13,5,-92.4394,42.5267,-86.924167,33.499722,21.9478260869565,5.26251315789474,0,16,91,152.457552701781
